user,location,tweet,likes,RT,Source,ID,Date
TerrySolle,"Kota Kinabalu, Sabah, Malaysia","RT @theaseanpost: DAILY SNAPSHOT: Total Cases crossed 28.13 million at 7:00 pm with more than 170,000 New Cases reported since our last upd…",0,10,TweetCaster for Android,1507828674560929795,2022-03-26 21:15:44+00:00
Annamaria_Tu,Schweiz,"RT @etkelley419: No scientiﬁc reason for the next variant to be weaker simply because #Omicron is less lethal. 
Like hurricanes, the streng…",0,98,Twitter for iPhone,1507828479978622985,2022-03-26 21:14:58+00:00
getvaxxedpeople,,"A vaccine tablet against Covid19 is being developed.

https://t.co/VUT3PNDPoo

#covid #covid19 #corona… https://t.co/DuSIBIa8Cu",0,0,TweetDeck,1507828466091106305,2022-03-26 21:14:55+00:00
Coollightofday,,"For 2 years my body has been single, living alone, hoarding supplies. Now it is cohabiting once again. But its new… https://t.co/wvu2aoKZsc",2,0,Twitter Web App,1507828065178693640,2022-03-26 21:13:19+00:00
lexiplexed,,"Thread
#COVID 
#Omicron 

Be careful https://t.co/GbR7YvLPub",0,0,Twitter Web App,1507826338295541762,2022-03-26 21:06:27+00:00
VippusaO,USA,"DON’T SURRENDER TO #OMICRON
Just bc you believe it’s milder &amp; inevitable that you will get it, DON’T GIVE UP fighti… https://t.co/149fazjRpB",0,0,The Social Jukebox,1507826093092397061,2022-03-26 21:05:29+00:00
darylgibson,Manning Point,RT @Askgerbil: People are dying because they did not receive booster doses before the #Omicron variant was unleashed by removing all constr…,0,7,Twitter Web App,1507825860522704896,2022-03-26 21:04:33+00:00
iClevercat,"Porpoise Pit, WA, Australia","How we are deceived

#coronavirus 

Con-a-virus

#omicron 

Oh my a con

WHO had a meeting to decide what to call i… https://t.co/O3ZZz6aC0w",0,0,Twitter Web App,1507825845427052547,2022-03-26 21:04:30+00:00
KittyPo80176717,,"RT @DelthiaRicks: A surge in cases in Shanghai is testing China's 'zero Covid' strategy. #Omicron subvariant, BA.2, is spreading rapidly ac…",0,10,Twitter for Android,1507824681197666304,2022-03-26 20:59:52+00:00
missingparl,"Cleveland, Brisbane","RT @TomthunkitsMind: WHAT HE SAID…
I’ll give it to you straight, as I promised that I always would: We’re going to see COVID cases continue…",0,2,Twitter for Android,1507823730298613760,2022-03-26 20:56:05+00:00
